1 loss,1 acc,2 loss,2 acc,3 loss,3 acc,4 loss,4 acc
0.171782377,279207.963,0.181256119,281091.075,0.398137303,281172.8679,0.086090898,283747.769
0.133206228,279460.12,0.130677652,278297.2964,0.338455033,281554.5214,0.064167563,283524.488
0.126857993,279659.508,0.094296201,279393.725,0.295680921,281160.6821,0.065811664,283518.185
0.124515714,280018.987,0.082050005,280118.475,0.275485939,278836.7643,0.060538068,283528.23
0.126850736,279408.764,0.074159178,280545.15,0.231125751,279210.525,0.057858001,283452.624
0.124602905,279428.099,0.091340959,278554.8536,0.215466121,279562.6179,0.05564146,283412.519
0.123374727,280080.001,0.074221556,278248.3964,0.209726143,276528.5786,0.059394437,283331.879
0.123040354,279811.779,0.07418747,277297.1714,0.185327607,278621.5929,0.052829349,283529.135
0.124154703,279960.986,0.069032717,278550.8536,0.161959102,279573.7464,0.056422751,282740.123
0.123501785,279589.573,0.066806436,279530.1679,0.160427574,279809.0714,0.063295632,283211.475
0.1234046,279447.504,0.068066561,277637.9607,0.14813725,276631.125,0.04748006,283134.713
0.125514753,279370.214,0.075579184,279771.5679,0.139879138,278616.8393,0.049261357,283309.467
0.149507078,279711.5,0.07096599,278943.1964,0.128817627,279319.4179,0.047697362,283618.615
0.122733298,279425.947,0.170810626,282087.6071,0.123170481,281450.0857,0.048300305,283736.637
0.122762511,279542.844,0.080787321,278359.3893,0.116890772,279248.5786,0.045432016,283492.322
0.123256376,279736.281,0.086142451,279696.6607,0.105780003,279810.1107,0.048803129,283014.074
0.122312506,279437.997,0.065523495,280708.1714,0.106355327,277772.4857,0.049847347,283552.704
0.122572749,279505.216,0.063379386,278671.4643,0.091166027,281754.1643,0.048386616,283392.545
0.126223917,279851.688,0.064125363,280078.5429,0.096889919,279003.5,0.046864403,283254.882
0.172430519,279710.596,0.062624232,278172.7107,0.091365022,277794.7964,0.045004957,283443.626
,,0.060155719,281100.9357,0.087890303,278299.8786,0.072909476,283310.329
,,0.060263895,280147.5464,0.092854979,279004.3786,0.06696288,283570.841
,,0.070691919,281744.9893,0.084018136,280725.3,0.059464347,283779.47
,,0.072179659,278998.0214,0.079177168,280297.0214,0.062434739,283393.483
,,0.062445267,278332.7607,0.081149676,277299.1857,0.061024926,283384.316
,,0.065513368,278806.3857,0.077398698,279115.25,0.057212006,283646.372
,,0.060760282,278456.5286,0.081301347,278072.7679,0.054449616,283622.891
,,0.056902456,279158.8429,0.073381671,280937.9786,0.0560502,283595.547
,,0.058351883,279226.775,0.071707083,278250.1321,0.054298999,283622.535
,,0.056291953,279691.7071,0.066163448,279195.675,0.051684437,283470.4
,,0.057897261,278485.8393,0.069658777,279060.3036,,
,,0.057492805,278977.9,0.067437977,278905.8214,,
,,0.057760366,278795.5179,0.063999023,279873.0393,,
,,0.057941982,279496.5607,0.065825237,279912.7036,,
,,0.05877476,278794.4643,0.063141615,278666.6821,,
,,0.06046996,279285.0321,0.061008481,278886.8286,,
,,0.057083697,281106.6821,0.062590289,280292.0071,,
,,0.058323008,277710.8143,0.060092193,279987.6143,,
,,0.058373692,279358.4036,0.061499198,279298.3536,,
,,0.055782888,281445.425,0.061394934,277990.3286,,
,,0.050231748,278977.135,0.057348328,279818.737,,
,,0.049140848,279603.978,0.056336033,279501.689,,
,,0.049177251,280174.196,0.057633192,279355.636,,
,,0.049629143,279431.696,0.054502601,279227.756,,
,,0.049138297,279630.368,0.053966837,279256.8,,
,,0.048494626,279810.636,0.054937395,279373.251,,
,,0.048744736,279212.739,0.055068796,279193.61,,
,,0.048457278,279348.732,0.051883127,279449.96,,
,,0.048394275,280051.489,0.052016848,279513.649,,
,,0.048476597,279638.112,0.052264149,279092.388,,
